learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,generation,accuracy
0.0001833992894755159,2.602850523811933,1.4892395093286783,3.188357979381366,2.4297911436383077,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",20,1,0.8215
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",21,1,0.8915
0.00017951411786392064,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",22,1,0.8845
8.565595134328385e-05,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",23,1,0.852
0.00016379178676878707,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",24,1,0.818
0.00017418496817427466,0.0,8.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",25,1,0.8875
0.00016335437192213225,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",26,1,0.8245
0.00016758688620806904,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",27,1,0.8925
0.00018515739892405192,0.0,8.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",28,1,0.892
0.00010552528333430402,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",29,1,0.8615
0.00010940182442948393,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",30,1,0.867
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",31,1,0.898
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",32,1,0.896
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",33,1,0.896
6.032723163462997e-05,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",34,1,0.802
0.00014255881244804958,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",35,1,0.8895
3.083333476662524e-05,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",36,1,0.699
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",37,1,0.897
0.00013952497011504922,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",38,1,0.878
0.00018771639137917762,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",39,1,0.833
0.0001833992894755159,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",40,1,0.833
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",41,2,0.8915
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",42,2,0.8915
8.565595134328385e-05,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",43,2,0.8355
0.0001634689408915567,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",44,2,0.8215
0.00017418496817427466,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",45,2,0.9
0.00016335437192213225,0.0,8.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",46,2,0.877
0.00016758688620806904,0.0,8.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",47,2,0.8845
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",48,2,0.8995
0.00016922875747664554,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",49,2,0.891
0.00010940182442948393,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",50,2,0.871
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",51,2,0.8995
0.00018230541570800208,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",52,2,0.8955
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",53,2,0.894
6.032723163462997e-05,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",54,2,0.7925
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",55,2,0.9015
0.0001370659175107822,0.0,8.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",56,2,0.873
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",57,2,0.891
0.00016934499565660505,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",58,2,0.8925
0.00018771639137917762,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",59,2,0.8995
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",60,2,0.846
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",61,3,0.899
0.00019138672419599024,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",62,3,0.8905
0.0001836226755114351,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",63,3,0.893
0.00018234403319762862,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",64,3,0.8355
0.00018263604032823434,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",65,3,0.8925
0.0001833019852875422,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",66,3,0.8945
0.00011436787104609585,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",67,3,0.866
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",68,3,0.9
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",69,3,0.8935
0.00010940182442948393,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",70,3,0.863
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",71,3,0.897
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",72,3,0.841
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",73,3,0.888
0.00018071234480854367,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",74,3,0.889
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",75,3,0.899
0.0001370659175107822,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",76,3,0.8715
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",77,3,0.8985
0.00017402138054151668,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",78,3,0.8915
0.00018771639137917762,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",79,3,0.8895
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",80,3,0.903
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",81,4,0.8955
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",82,4,0.889
0.00018448882295368416,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",83,4,0.8945
0.00017827365527127925,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin']",84,4,0.8205
0.0001853074532320233,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",85,4,0.8985
0.00016335437192213225,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",86,4,0.8855
0.00016758688620806904,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",87,4,0.886
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",88,4,0.892
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",89,4,0.894
0.00015861664308806895,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",90,4,0.8925
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",91,4,0.898
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",92,4,0.8925
0.00017517669520719843,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",93,4,0.8915
0.0001967896904031057,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",94,4,0.8895
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",95,4,0.899
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",96,4,0.894
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",97,4,0.9005
0.00016934499565660505,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",98,4,0.8985
0.00018771639137917762,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",99,4,0.8875
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",100,4,0.9
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",101,5,0.887
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",102,5,0.8905
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",103,5,0.8935
0.0001912606526138418,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",104,5,0.893
0.00018718584963324454,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",105,5,0.8905
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",106,5,0.9005
0.0001982973063290729,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",107,5,0.8955
0.00019716156352750974,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",108,5,0.891
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",109,5,0.893
0.00015861664308806895,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",110,5,0.888
0.000198317983314233,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",111,5,0.8985
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",112,5,0.8965
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",113,5,0.899
0.00018426073083815679,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",114,5,0.897
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",115,5,0.894
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",116,5,0.893
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",117,5,0.903
0.00016934499565660505,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",118,5,0.89
0.00018771639137917762,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",119,5,0.892
0.0002,0.0,24.0,96.0,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",120,5,0.8895
